bus_id,window_id,b_kwh
5004,25,52.17155351688895
5004,26,43.24053072155599
5004,27,34.309507926223034
5005,0,70.0
5005,1,61.06897720466704
5005,2,52.137954409333545
5005,3,43.20693161400059
5005,4,34.27590881866763
5005,5,30.34488602333467
5005,6,36.41386322800205
5005,7,42.48284043266865
5005,8,48.551817637335276
5005,9,44.62079484200232
5005,10,50.68977204666936
5005,11,46.758749251336404
5005,12,52.82772645600345
5005,13,43.89670366067049
5005,14,34.96568086533753
5006,0,70.0
5006,1,56.36244543272972
5006,2,32.72489086545944
5006,3,34.087336298189165
5006,4,40.449781730918914
5006,5,61.78190886439204
5006,6,48.11403599786516
5006,7,44.44616313133829
5006,8,30.778290264811414
5007,0,70.0
5007,1,91.68964385548264
5007,2,100.24718035584752
5007,3,77.4403814809818
5007,4,60.997917981346774
5007,5,37.02220205840166
5007,6,47.737343665178564
5007,7,31.877629391888348
5007,8,37.59277099866485
5007,9,41.73305672537522
5007,10,52.471983699236944
5007,11,56.61226942594699
5007,12,57.351196399808714
5007,13,32.6603991745982
5008,0,70.0
5008,1,58.325675963221045
5008,2,32.18731141211384
5008,3,30.894740117360648
5009,0,70.0
5009,1,101.19789923671831
5009,2,92.39579847343666
5009,3,83.59369771015497
5009,4,74.79159694687328
5009,5,65.9894961835916
5009,6,57.187395420309926
5009,7,53.38529465702825
5009,8,44.58319389374657
5009,9,40.78109313046489
5009,10,46.97899236718321
5009,11,43.17689160390153
5009,12,49.37479084061985
5009,13,45.57269007733817
5009,14,41.770589314056494
5009,15,57.968488550774815
5009,16,64.16638778749314
5009,17,60.36428702421146
5009,18,51.56218626092978
5009,19,42.7600854976481
5009,20,33.95798473436642
5010,0,70.0
5010,1,69.94725903402036
5010,2,79.89451806804081
5010,3,59.841777102061286
5010,4,39.789036136081776
5010,5,54.73629517010238
5010,6,59.68355420412301
5010,7,44.63081323814185
5010,8,49.57807227216257
5010,9,64.52533130618315
5010,10,54.4725903402036
5010,11,34.419849374223965
5011,0,70.0
5011,1,35.86695594708316
5013,0,70.0
5013,1,97.19320112513424
5013,2,80.75073762549913
5013,3,57.943938750633365
5013,4,41.50147525099825
5013,5,37.52575932805305
5013,6,48.24090093482977
5013,7,52.381186661539815
5013,8,53.12011363540154
